file,rel_file,x_col,y_col,y_raw_col,status,detected,plot,debug_csv,window,model_improve_min,model_contrast_min,depth_min,depth_bilateral_min,plateau_pad_points,plateau_pad_x_frac,start_idx,end_idx,start_x,end_x,x_span,mean_y,min_y,score
detrended_csv_per_star0/lc_star0026_det.csv_corrected.csv,lc_star0026_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0026_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0030_det.csv_corrected.csv,lc_star0030_det.csv_corrected.csv,time,flux_corrected,flux,ok,True,output/plots/lc_star0030_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,20.0,46.0,2459730.142141204,2459730.1978125,0.05567129608243704,0.9998634275482456,0.9997245582219538,0.04028541528066475
detrended_csv_per_star0/lc_star0086_det.csv_corrected.csv,lc_star0086_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0086_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0072_det.csv_corrected.csv,lc_star0072_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0072_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0064_det.csv_corrected.csv,lc_star0064_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0064_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0109_det.csv_corrected.csv,lc_star0109_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0109_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0038_det.csv_corrected.csv,lc_star0038_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0038_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0056_det.csv_corrected.csv,lc_star0056_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0056_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0040_det.csv_corrected.csv,lc_star0040_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0040_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0098_det.csv_corrected.csv,lc_star0098_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0098_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0101_det.csv_corrected.csv,lc_star0101_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0101_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0014_det.csv_corrected.csv,lc_star0014_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0014_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0117_det.csv_corrected.csv,lc_star0117_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0117_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0070_det.csv_corrected.csv,lc_star0070_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0070_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0066_det.csv_corrected.csv,lc_star0066_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0066_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
